,IDEmploye,IDOperation,avg_temps,avg_rendement,most_used_machine,most_used_chain,Sexe,EtatCivil,Specialite,IDChaineMontage,TauxHoraire,Allure,Status,Age,Expertise
0,191,556,19.83333333333333,82.42333333333333,13,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
1,191,587,173.50332068311195,81.39711574952561,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
2,191,588,51.489583333333336,90.83875,11,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
3,191,589,13.954545454545457,81.40081818181818,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
4,191,600,29.0,67.44,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
5,191,674,63.75,43.260000000000005,9,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
6,191,705,31.928571428571427,75.26357142857144,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
7,191,711,41.049418604651166,88.21744186046512,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
8,191,843,34.0,51.215,16,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
9,191,865,72.08333333333333,94.86466666666666,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
10,191,895,65.0,102.81125,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
11,191,978,31.875,81.40375,13,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
12,191,984,100.0,66.23,15,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
13,191,1051,60.0,53.1,1,14,2,2,Brideuse,23,5.588,90.0,1,41.0,11
14,191,1084,53.773648648648646,86.72864864864864,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
15,191,1131,60.833333333333336,84.7,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
16,191,1158,32.5,80.42,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
17,191,1165,79.77777777777777,81.31851851851852,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
18,191,1169,27.0,81.82,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
19,191,1173,62.71428571428572,80.30714285714285,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
20,191,1175,45.833333333333336,79.09666666666666,13,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
21,191,1186,11.0,84.37666666666667,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
22,191,1204,55.6875,88.58500000000001,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
23,191,1366,72.75,72.45500000000001,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
24,191,1411,20.8125,84.35833333333333,9,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
25,191,1499,36.5,75.46,15,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
26,191,1500,76.5,45.905,12,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
27,191,1502,36.86764705882353,107.31882352941176,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
